Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-19,20:00:00,75715,75934,75715,75893,0,0
2017-09-19,21:00:00,75874,75981,75781,75940,0,0
2017-09-19,22:00:00,75935,76035,75745,75974,0,0
2017-09-20,16:00:00,75973,76419,75971,76125,0,0
2017-09-20,17:00:00,76121,76174,75653,75692,0,0
2017-09-20,18:00:00,75730,75859,75446,75473,0,0
2017-09-20,19:00:00,75493,75591,75394,75514,0,0
2017-09-20,20:00:00,75509,75800,75426,75696,0,0
2017-09-20,21:00:00,75697,75726,75074,75606,0,0
2017-09-20,22:00:00,75593,76004,75518,76004,0,0
2017-09-21,16:00:00,76013,76251,75833,75833,0,0
2017-09-21,17:00:00,75837,75865,75520,75648,0,0
2017-09-21,18:00:00,75621,75816,75282,75299,0,0
2017-09-21,19:00:00,75290,75757,75282,75669,0,0
2017-09-21,20:00:00,75659,75713,75466,75572,0,0
2017-09-21,21:00:00,75589,75629,75335,75459,0,0
2017-09-21,22:00:00,75477,75607,75475,75604,0,0
2017-09-22,16:00:00,75617,75620,75028,75195,0,0
2017-09-22,17:00:00,75223,75517,75200,75243,0,0
2017-09-22,18:00:00,75247,75720,75240,75601,0,0
2017-09-22,19:00:00,75599,75602,75382,75430,0,0
2017-09-22,20:00:00,75416,75436,75293,75330,0,0
2017-09-22,21:00:00,75324,75417,75275,75300,0,0
2017-09-22,22:00:00,75302,75389,75188,75389,0,0
2017-09-25,16:00:00,75381,75469,75013,75116,0,0
2017-09-25,17:00:00,75023,75091,74748,74785,0,0
2017-09-25,18:00:00,74766,74814,74576,74625,0,0
2017-09-25,19:00:00,74624,74639,74378,74592,0,0
2017-09-25,20:00:00,74599,74689,74495,74495,0,0
2017-09-25,21:00:00,74497,74553,74404,74443,0,0
2017-09-25,22:00:00,74429,74487,74303,74443,0,0
2017-09-26,16:00:00,74437,74835,74433,74713,0,0
2017-09-26,17:00:00,74686,74971,74665,74712,0,0
2017-09-26,18:00:00,74711,74849,74566,74687,0,0
2017-09-26,19:00:00,74693,74801,74617,74731,0,0
2017-09-26,20:00:00,74728,74917,74728,74836,0,0
2017-09-26,21:00:00,74843,74843,74610,74650,0,0
2017-09-26,22:00:00,74651,74746,74318,74318,0,0
2017-09-27,16:00:00,74357,74743,74079,74079,0,0
