Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,15:00:00,182.7081,182.7081,182.5063,182.5063,0,0
2017-09-06,16:00:00,182.7289,182.8234,182.6697,182.7793,0,0
2017-09-06,17:00:00,182.6058,182.8403,182.5091,182.8403,0,0
2017-09-06,18:00:00,182.8644,183.2539,182.8644,183.1444,0,0
2017-09-06,19:00:00,183.1978,183.2153,182.8848,182.8848,0,0
2017-09-06,20:00:00,182.9577,182.9682,182.8377,182.9233,0,0
2017-09-06,21:00:00,182.9526,183.0233,182.8798,182.9997,0,0
2017-09-07,15:00:00,182.653,182.9518,182.4636,182.9518,0,0
2017-09-07,16:00:00,183.0427,183.0427,182.6284,182.7011,0,0
2017-09-07,17:00:00,182.8695,183.0619,182.711,182.711,0,0
2017-09-07,18:00:00,183.0063,183.0063,182.6402,182.9084,0,0
2017-09-07,19:00:00,182.9407,183.0631,182.9304,183.0199,0,0
2017-09-07,20:00:00,183.0248,183.0248,182.8087,182.8611,0,0
2017-09-07,21:00:00,182.7678,182.8831,182.7134,182.8681,0,0
2017-09-08,15:00:00,182.9823,183.0326,182.8182,183.031,0,0
2017-09-08,16:00:00,183.0006,183.0486,182.8732,182.9581,0,0
2017-09-08,17:00:00,182.9346,182.9863,181.8893,181.8893,0,0
2017-09-08,18:00:00,181.9178,182.332,181.8558,182.1361,0,0
2017-09-08,19:00:00,182.1411,182.1411,181.6012,181.6012,0,0
2017-09-08,20:00:00,181.6852,181.7112,181.0868,181.1116,0,0
2017-09-08,21:00:00,181.1734,181.1903,180.9777,181.1747,0,0
2017-09-11,15:00:00,180.8246,180.8246,180.5519,180.5519,0,0
2017-09-11,16:00:00,180.4908,180.567,180.2355,180.498,0,0
2017-09-11,17:00:00,180.6403,180.9597,180.3789,180.9597,0,0
2017-09-11,18:00:00,180.9198,181.4712,180.8011,181.4712,0,0
2017-09-11,19:00:00,181.499,181.7826,181.4336,181.7826,0,0
2017-09-11,20:00:00,181.7169,181.7169,181.5006,181.5537,0,0
2017-09-11,21:00:00,181.613,181.6838,181.5368,181.6602,0,0
2017-09-12,15:00:00,181.7205,181.7205,181.4009,181.4009,0,0
2017-09-12,16:00:00,181.7377,181.8924,181.3714,181.8853,0,0
2017-09-12,17:00:00,182.0378,182.1373,181.6806,181.7225,0,0
2017-09-12,18:00:00,181.7683,181.9693,181.5943,181.9142,0,0
2017-09-12,19:00:00,181.3646,181.3699,180.9234,181.1786,0,0
2017-09-12,20:00:00,181.2127,181.3535,181.2121,181.2277,0,0
2017-09-12,21:00:00,181.2999,181.5441,181.2999,181.4107,0,0
2017-09-13,15:00:00,182.4126,182.4126,182.2961,182.3291,0,0
2017-09-13,16:00:00,182.3093,182.4594,182.2337,182.4594,0,0
2017-09-13,17:00:00,182.4787,182.4787,182.0383,182.2925,0,0
2017-09-13,18:00:00,182.2897,182.7719,182.2897,182.6509,0,0
2017-09-13,19:00:00,182.5653,182.5653,182.3939,182.4437,0,0
2017-09-13,20:00:00,182.5225,182.8759,182.5225,182.8759,0,0
2017-09-13,21:00:00,182.9217,182.9431,182.8828,182.8828,0,0
2017-09-14,15:00:00,183.278,183.4667,183.1764,183.4667,0,0
2017-09-14,16:00:00,183.4563,183.7401,183.3465,183.7401,0,0
2017-09-14,17:00:00,183.6428,184.2317,183.6428,183.9738,0,0
2017-09-14,18:00:00,183.8005,183.9655,183.6593,183.7168,0,0
2017-09-14,19:00:00,183.6041,183.6482,183.3484,183.3484,0,0
2017-09-14,20:00:00,183.2541,183.4688,183.2541,183.3935,0,0
2017-09-14,21:00:00,183.3435,183.434,183.2922,183.3103,0,0
2017-09-15,15:00:00,183.3261,183.4164,183.2159,183.2282,0,0
2017-09-15,16:00:00,183.2506,183.7871,183.2506,183.7129,0,0
2017-09-15,17:00:00,183.7438,183.8276,183.4863,183.5665,0,0
2017-09-15,18:00:00,183.514,183.7333,183.514,183.5801,0,0
2017-09-15,19:00:00,183.6569,183.7865,183.6234,183.6719,0,0
2017-09-15,20:00:00,183.7383,183.899,183.7304,183.8815,0,0
